Model,Accuracy,Precision (weighted),Recall (weighted),F1 Score,Precision (macro),Recall (macro),F1 Score (macro),ROC AUC
FT-Transformer,0.7134,0.823,0.7134,0.7426,0.4272,0.4984,0.4249,0.8124
TabTransformer,0.6764,0.827,0.6764,0.7141,0.435,0.4991,0.416,0.81
